a,b,theta,status
7.1,7.1,40,InProgress
7.0,7.0,40,InProgress
7.0,7.1,40,InProgress
7.0,7.2,40,InProgress
7.1,7.0,40,InProgress
7.1,7.2,40,InProgress
7.2,7.0,40,InProgress
7.2,7.1,40,InProgress
7.2,7.2,40,InProgress
7.0,6.9,40,InProgress
7.1,6.9,40,InProgress
7.2,6.9,40,InProgress
7.0,6.8,40,InProgress
7.1,6.8,40,InProgress
7.2,6.8,40,InProgress
9.6,5.1,40,InProgress
9.5,5.0,40,InProgress
9.5,5.1,40,InProgress
9.5,5.2,40,InProgress
9.6,5.0,40,InProgress
9.6,5.2,40,InProgress
9.7,5.0,40,InProgress
9.7,5.1,40,InProgress
9.7,5.2,40,InProgress
7.1,6.7,40,InProgress
7.2,6.7,40,InProgress
7.3,6.7,40,InProgress
7.3,6.8,40,InProgress
7.3,6.9,40,InProgress
9.4,4.9,40,InProgress
9.4,5.0,40,InProgress
9.4,5.1,40,InProgress
9.5,4.9,40,InProgress
9.6,4.9,40,InProgress
9.3,4.9,40,InProgress
9.3,5.0,40,InProgress
9.3,5.1,40,InProgress
9.2,5.0,40,InProgress
9.2,5.1,40,InProgress
9.2,5.2,40,InProgress
9.3,5.2,40,InProgress
9.4,5.2,40,InProgress
9.1,5.0,40,InProgress
9.1,5.1,40,InProgress
9.1,5.2,40,InProgress
9.0,5.0,40,InProgress
9.0,5.1,40,InProgress
9.0,5.2,40,InProgress
8.9,5.1,40,InProgress
8.9,5.2,40,InProgress
8.9,5.3,40,InProgress
9.0,5.3,40,InProgress
9.1,5.3,40,InProgress
8.8,5.2,40,InProgress
8.8,5.3,40,InProgress
8.8,5.4,40,InProgress
8.9,5.4,40,InProgress
9.0,5.4,40,InProgress
8.7,5.2,40,InProgress
8.7,5.3,40,InProgress
8.7,5.4,40,InProgress
8.6,5.3,40,InProgress
8.6,5.4,40,InProgress
8.6,5.5,40,InProgress
8.7,5.5,40,InProgress
8.8,5.5,40,InProgress
8.5,5.4,40,InProgress
8.5,5.5,40,InProgress
8.5,5.6,40,InProgress
8.6,5.6,40,InProgress
8.7,5.6,40,InProgress
8.4,5.5,40,InProgress
8.4,5.6,40,InProgress
8.4,5.7,40,InProgress
8.5,5.7,40,InProgress
8.6,5.7,40,InProgress
8.3,5.6,40,InProgress
8.3,5.7,40,InProgress
8.3,5.8,40,InProgress
8.4,5.8,40,InProgress
8.5,5.8,40,InProgress
8.2,5.7,40,InProgress
8.2,5.8,40,InProgress
8.2,5.9,40,InProgress
8.3,5.9,40,InProgress
8.4,5.9,40,InProgress
8.1,5.8,40,InProgress
8.1,5.9,40,InProgress
8.1,6.0,40,InProgress
8.2,6.0,40,InProgress
8.3,6.0,40,InProgress
8.0,5.9,40,InProgress
8.0,6.0,40,InProgress
8.0,6.1,40,InProgress
8.1,6.1,40,InProgress
8.2,6.1,40,InProgress
7.9,6.0,40,InProgress
7.9,6.1,40,InProgress
7.9,6.2,40,InProgress
8.0,6.2,40,InProgress
8.1,6.2,40,InProgress
7.8,6.1,40,InProgress
7.8,6.2,40,InProgress
7.8,6.3,40,InProgress
7.9,6.3,40,InProgress
8.0,6.3,40,InProgress
7.7,6.2,40,InProgress
7.7,6.3,40,InProgress
7.7,6.4,40,InProgress
7.8,6.4,40,InProgress
7.9,6.4,40,InProgress
7.6,6.3,40,InProgress
7.6,6.4,40,InProgress
7.6,6.5,40,InProgress
7.7,6.5,40,InProgress
7.8,6.5,40,InProgress
7.5,6.4,40,InProgress
7.5,6.5,40,InProgress
7.5,6.6,40,InProgress
7.6,6.6,40,InProgress
7.7,6.6,40,InProgress
7.4,6.4,40,InProgress
7.4,6.5,40,InProgress
7.4,6.6,40,InProgress
7.3,6.5,40,InProgress
7.3,6.6,40,InProgress
7.4,6.7,40,InProgress
7.5,6.7,40,InProgress
7.2,6.6,40,InProgress
7.4,6.8,40,InProgress
