cx,cy,cz,a,b,theta,Rt,Rp,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-3.7,-2.0,11.9,7.4,5.8,25,1.7,1.5,-4.190003496711142,-0.986056663794443,-0.2665737780043855,-0.1468900507315993,-1.6785528543405237,-0.267392051173374,-0.070389051688835,-1.3586595515953377,-0.8791452751029283,-0.1227729590609669,-0.1214984860853292,2,Done,tetracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=-3.7_cy=-2.0_cz=11.9.log
-3.6,-2.0,12.0,7.4,5.8,25,1.7,1.5,-4.141185101296287,-1.0138202161761,-0.2531914999708533,-0.148009528638795,-1.658741108723916,-0.2650275933556258,-0.0698995939455926,-1.3605081959394738,-0.823955143103376,-0.1259851826471276,-0.126391809200868,2,Done,tetracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=-3.6_cy=-2.0_cz=12.0.log
-3.5,-1.9,12.0,7.4,5.8,25,1.7,1.5,-4.266189485962968,-1.1286545462207869,-0.2460680063813924,-0.1588880420895293,-1.70083322445862,-0.2662361776456237,-0.0790248443372547,-1.327436536550522,-0.8802647528937086,-0.1346046600374393,-0.1340311159146949,2,Done,tetracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=-3.5_cy=-1.9_cz=12.0.log
-3.4,-1.8,12.0,7.4,5.8,25,1.7,1.5,-4.353528837847989,-1.256864879396744,-0.2381664004642516,-0.1707730814814567,-1.685924841905944,-0.2669640893582254,-0.0896900043589994,-1.2836055905208923,-0.9296736352262088,-0.1439664817880839,-0.1420914818299934,1,Done,tetracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=-3.4_cy=-1.8_cz=12.0.log
-3.3,-1.6,12.2,7.4,5.8,25,1.7,1.5,-4.092055460845586,-1.313313168939203,-0.176191002712585,-0.1822652996052056,-1.6399509493494406,-0.2326719227712601,-0.1004819213412702,-1.0964582631131634,-0.8810209023649804,-0.1494069934124127,-0.142732169595547,1,Done,tetracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=-3.3_cy=-1.6_cz=12.2.log
-3.2,-1.5,12.4,7.4,5.8,25,1.7,1.5,-3.759645216399804,-1.307694444316439,-0.1392607842572033,-0.1861081708921119,-1.578699698089622,-0.2088089726166799,-0.1026367906015366,-0.8962003694032319,-0.8065411131246947,-0.1522245134110562,-0.1430747900740243,1,Done,tetracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=-3.2_cy=-1.5_cz=12.4.log
-3.1,-1.4,12.6,7.4,5.8,25,1.7,1.5,-3.435723926872015,-1.2836369660217315,-0.1093072218354791,-0.1895795562304556,-1.5225287680514157,-0.1863717250525951,-0.1043009471613913,-0.7013240014202893,-0.7390367247862741,-0.1548870382248424,-0.1426135702640749,2,Done,tetracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=-3.1_cy=-1.4_cz=12.6.log
-3.0,-1.3,12.7,7.4,5.8,25,1.7,1.5,-3.339419339434244,-1.3258094030898064,-0.0943323232932016,-0.1983998366631567,-1.512252664193511,-0.1748682117322459,-0.1118147517554462,-0.6038196149747819,-0.7194853957626037,-0.1616961492109112,-0.1456795841222629,2,Done,tetracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=-3.0_cy=-1.3_cz=12.7.log
-2.9,-1.2,12.8,7.4,5.8,25,1.7,1.5,-3.257165328599513,-1.359417583560571,-0.0814922135323286,-0.2074949666857719,-1.507130927639082,-0.163545421208255,-0.120122984284535,-0.5173092038021423,-0.7030509088654071,-0.1687945424346253,-0.1484086250420659,2,Done,tetracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=-2.9_cy=-1.2_cz=12.8.log
-2.8,1.6,13.5,7.4,5.8,25,1.7,1.5,-3.196138098544907,-0.8950652036583051,-0.0076041661668568,-0.6454643161268905,-0.7561382547719404,-0.0458785112714394,-0.9500752404564992,-0.0755101609393023,-1.183025777572766,-0.2054361062473617,-0.082053207559511,1,Done,tetracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=-2.8_cy=1.6_cz=13.5.log
-2.7,1.6,13.5,7.4,5.8,25,1.7,1.5,-3.269269996730145,-0.9190913066267968,-0.0080860938178375,-0.6794879083754495,-0.796367920935154,-0.0460228384472429,-0.9731387430801988,-0.0759249449474737,-1.1780044427141547,-0.2190762911923229,-0.0851669122348539,1,Done,tetracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=-2.7_cy=1.6_cz=13.5.log
-2.6,1.5,13.4,7.4,5.8,25,1.7,1.5,-3.480912176775746,-1.034248176845722,-0.0099623487330973,-0.7102911192923784,-0.939923383644782,-0.0497841333271935,-0.9997213216265664,-0.0871542362729087,-1.1889024087577127,-0.2392256373423151,-0.0936646526679396,1,Done,tetracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=-2.6_cy=1.5_cz=13.4.log
-2.5,1.5,13.4,7.4,5.8,25,1.7,1.5,-3.561082227039151,-1.036756961606443,-0.0105735436081886,-0.7481538177235052,-0.9903287518536672,-0.0499021051218733,-1.0168849751353264,-0.087515682214871,-1.1941841605002992,-0.2557241302565671,-0.0973581765429116,2,Done,tetracene_a=7.4_b=5.8_theta=25_Rt=1.7_Rp=1.5_cx=-2.5_cy=1.5_cz=13.4.log
