cx,cy,cz,a,b,theta,Rt,Rp,status
-1,0.9,13.6,7.4,5.8,25,1.7,1.5,InProgress
-0.9,1,13.7,7.4,5.8,25,1.7,1.5,InProgress
-0.8,1,13.7,7.4,5.8,25,1.7,1.5,InProgress
-0.7,1.1,13.7,7.4,5.8,25,1.7,1.5,InProgress
-0.6,1.1,13.7,7.4,5.8,25,1.7,1.5,InProgress
-0.5,1.2,13.7,7.4,5.8,25,1.7,1.5,InProgress
-0.4,1.2,13.7,7.4,5.8,25,1.7,1.5,InProgress
-0.3,1.3,13.7,7.4,5.8,25,1.7,1.5,InProgress
-0.2,1.3,13.7,7.4,5.8,25,1.7,1.5,InProgress
-0.1,1.4,13.7,7.4,5.8,25,1.7,1.5,InProgress
0,1.4,13.6,7.4,5.8,25,1.7,1.5,InProgress
0.1,1.4,13.7,7.4,5.8,25,1.7,1.5,InProgress
0.2,1.3,13.7,7.4,5.8,25,1.7,1.5,InProgress
0.3,1.3,13.7,7.4,5.8,25,1.7,1.5,InProgress
0.4,1.2,13.7,7.4,5.8,25,1.7,1.5,InProgress
0.5,1.2,13.7,7.4,5.8,25,1.7,1.5,InProgress
0.6,1.1,13.7,7.4,5.8,25,1.7,1.5,InProgress
0.7,1,13.7,7.4,5.8,25,1.7,1.5,InProgress
0.8,0.9,13.8,7.4,5.8,25,1.7,1.5,InProgress
0.9,0.8,13.8,7.4,5.8,25,1.7,1.5,InProgress
1,0.5,13.8,7.4,5.8,25,1.7,1.5,InProgress
1.1,0.2,13.8,7.4,5.8,25,1.7,1.5,InProgress
1.2,-0.1,13.7,7.4,5.8,25,1.7,1.5,InProgress
1.3,-0.7,13.5,7.4,5.8,25,1.7,1.5,InProgress
1.4,-0.7,13.5,7.4,5.8,25,1.7,1.5,InProgress
1.5,-0.7,13.5,7.4,5.8,25,1.7,1.5,InProgress
1.6,-0.8,13.5,7.4,5.8,25,1.7,1.5,InProgress
1.7,-0.9,13.5,7.4,5.8,25,1.7,1.5,InProgress
1.8,-1,13.6,7.4,5.8,25,1.7,1.5,InProgress
1.9,-1,13.6,7.4,5.8,25,1.7,1.5,InProgress
2,-1.1,13.5,7.4,5.8,25,1.7,1.5,InProgress
