a,b,theta,status
6.3,7.3,5,NotYet
3.9,12.2,5,NotYet
6.5,6.9,10,NotYet
3.9,12.1,10,NotYet
6.6,6.6,15,NotYet
3.8,12.1,15,NotYet
6.8,6.2,20,NotYet
3.8,12.0,20,NotYet
7.1,6.0,25,NotYet
3.9,11.7,25,NotYet
7.7,5.7,30,NotYet
7.7,5.7,30,NotYet
4.0,11.3,30,NotYet
8.4,5.4,35,NotYet
8.4,5.4,35,NotYet
4.3,10.8,35,NotYet
7.5,6.6,40,NotYet
9.0,5.1,40,NotYet
4.5,10.3,40,NotYet
7.1,7.1,45,NotYet
9.7,4.8,45,NotYet
4.8,9.7,45,NotYet
