cx,cy,cz,a,b,theta,Rt,Rp,status
0.0,-3.0,13.7,7.2,6.0,25,0,0,NotYet
0.0,-2.9,13.7,7.2,6.0,25,0,0,NotYet
0.0,-2.8,13.7,7.2,6.0,25,0,0,NotYet
0.0,-2.7,13.8,7.2,6.0,25,0,0,NotYet
-3.6,-2.6,13.8,7.2,6.0,25,0,0,NotYet
-3.6,-2.5,13.7,7.2,6.0,25,0,0,NotYet
-3.6,-2.4,13.7,7.2,6.0,25,0,0,NotYet
-3.6,-2.3,13.7,7.2,6.0,25,0,0,NotYet
-3.6,-2.2,13.7,7.2,6.0,25,0,0,NotYet
-3.6,-2.1,13.6,7.2,6.0,25,0,0,NotYet
-3.4,-2.0,13.7,7.2,6.0,25,0,0,NotYet
-3.1,-1.9,13.7,7.2,6.0,25,0,0,NotYet
-2.9,-1.8,13.7,7.2,6.0,25,0,0,NotYet
-2.3,-1.7,13.7,7.2,6.0,25,0,0,NotYet
-2.3,-1.6,13.6,7.2,6.0,25,0,0,NotYet
-2.3,-1.5,13.6,7.2,6.0,25,0,0,NotYet
-2.3,-1.4,13.6,7.2,6.0,25,0,0,NotYet
-2.2,-1.3,13.5,7.2,6.0,25,0,0,NotYet
-2.1,-1.2,13.5,7.2,6.0,25,0,0,NotYet
-2.1,-1.1,13.5,7.2,6.0,25,0,0,NotYet
-2.0,-1.0,13.5,7.2,6.0,25,0,0,NotYet
-2.0,-0.9,13.4,7.2,6.0,25,0,0,NotYet
-1.9,-0.8,13.4,7.2,6.0,25,0,0,NotYet
-1.8,-0.7,13.3,7.2,6.0,25,0,0,NotYet
-1.8,-0.6,13.2,7.2,6.0,25,0,0,NotYet
-1.8,-0.5,13.2,7.2,6.0,25,0,0,NotYet
-1.8,-0.4,13.2,7.2,6.0,25,0,0,NotYet
-1.8,-0.3,13.2,7.2,6.0,25,0,0,NotYet
-1.8,-0.2,13.2,7.2,6.0,25,0,0,NotYet
-1.9,-0.1,13.2,7.2,6.0,25,0,0,NotYet
-1.9,0.0,13.2,7.2,6.0,25,0,0,NotYet
-1.9,0.1,13.2,7.2,6.0,25,0,0,NotYet
-1.8,0.2,13.2,7.2,6.0,25,0,0,NotYet
-1.8,0.3,13.2,7.2,6.0,25,0,0,NotYet
-1.8,0.4,13.2,7.2,6.0,25,0,0,NotYet
-1.8,0.5,13.2,7.2,6.0,25,0,0,NotYet
-1.8,0.6,13.2,7.2,6.0,25,0,0,NotYet
-1.8,0.7,13.3,7.2,6.0,25,0,0,NotYet
-1.9,0.8,13.4,7.2,6.0,25,0,0,NotYet
-2.0,0.9,13.4,7.2,6.0,25,0,0,NotYet
-2.0,1.0,13.5,7.2,6.0,25,0,0,NotYet
-2.1,1.1,13.5,7.2,6.0,25,0,0,NotYet
-2.1,1.2,13.5,7.2,6.0,25,0,0,NotYet
-2.2,1.3,13.5,7.2,6.0,25,0,0,NotYet
-2.3,1.4,13.6,7.2,6.0,25,0,0,NotYet
-2.3,1.5,13.6,7.2,6.0,25,0,0,NotYet
-2.3,1.6,13.6,7.2,6.0,25,0,0,NotYet
-2.3,1.7,13.7,7.2,6.0,25,0,0,NotYet
-2.9,1.8,13.7,7.2,6.0,25,0,0,NotYet
-3.1,1.9,13.7,7.2,6.0,25,0,0,NotYet
-3.4,2.0,13.7,7.2,6.0,25,0,0,NotYet
-3.6,2.1,13.6,7.2,6.0,25,0,0,NotYet
-3.6,2.2,13.7,7.2,6.0,25,0,0,NotYet
-3.6,2.3,13.7,7.2,6.0,25,0,0,NotYet
-3.6,2.4,13.7,7.2,6.0,25,0,0,NotYet
-3.6,2.5,13.7,7.2,6.0,25,0,0,NotYet
-3.6,2.6,13.8,7.2,6.0,25,0,0,NotYet
0.0,2.7,13.8,7.2,6.0,25,0,0,NotYet
0.0,2.8,13.7,7.2,6.0,25,0,0,NotYet
0.0,2.9,13.7,7.2,6.0,25,0,0,NotYet
0.0,3.0,13.7,7.2,6.0,25,0,0,NotYet
