a,b,theta,status
6.0,7.2,65,NotYet
7.1,6.0,25,NotYet
6.0,7.3,65,NotYet
7.1,6.1,25,NotYet
6.0,7.4,65,NotYet
7.1,6.2,25,NotYet
6.1,7.2,65,NotYet
7.2,6.0,25,NotYet
6.1,7.3,65,NotYet
7.2,6.1,25,NotYet
6.1,7.4,65,NotYet
7.2,6.2,25,NotYet
6.2,7.2,65,NotYet
7.3,6.0,25,NotYet
6.2,7.3,65,NotYet
7.3,6.1,25,NotYet
6.2,7.4,65,NotYet
7.3,6.2,25,NotYet
